DESEMBOLSOS
442
612
540
515
611
469
462
472
402
426
455
450
353
486
438
471
652
540
691
1170
2480
2565
708
617
459
638
568
797
3352
2999
1206
839
679
482
594
771
344
499
591
474
492
363
587
608
1182
2696
1757
937
186
316
410
390
500
530
497
537
545
707
1118
869
318
460
482
407
503
544
454
379
